-1.79 -1.23 -0.98 -0.48 -0.69 -0.94 -0.30 -0.96 -0.30 -0.42 -0.38 -0.20 -0.49 -0.32 0.04 0.55 -0.82 -0.40 0.00 0.07
  n    0.36 -1.03 -0.41 -0.31 -0.94 -0.07 -1.10 0.05 0.00 0.06 -0.47 -0.54 0.31 0.02 1.07 -0.35 -0.43 0.55 -0.25
  n     n   -0.61 -0.66 -1.02 -0.78 -0.89 -0.82 -0.05 0.21 -0.19 0.14 0.10 -0.02 0.19 0.20 -0.75 -0.22 -0.17 -0.43
  n     n     n   -0.71 -1.04 -0.98 -0.89 -0.87 -0.64 0.40 -0.29 -0.13 -0.39 0.39 -0.20 0.04 -0.52 -0.08 -0.26 0.25
  n     n     n     n   -1.14 -1.03 -0.97 -0.60 -0.57 -0.08 -0.39 -0.07 -0.13 -0.10 -0.05 0.50 -0.36 -0.10 0.10 0.09
  n     n     n     n     n   -1.15 -0.60 -0.70 -0.60 -0.20 0.06 -0.31 -0.09 -0.24 -0.02 0.25 -0.35 -0.48 -0.08 -0.08
  n     n     n     n     n     n    0.02 -0.99 -0.08 -0.14 0.07 -0.20 0.40 -0.68 0.32 0.24 -0.41 -0.78 -0.30 -0.44
  n     n     n     n     n     n     n    0.35 -0.37 -0.32 -0.23 0.25 -0.39 -0.74 0.22 0.11 -0.67 0.21 -0.20 -0.45
  n     n     n     n     n     n     n     n   -0.08 -0.09 -0.22 -0.01 -0.11 -0.14 0.03 0.10 -0.15 0.07 0.00 0.41
  n     n     n     n     n     n     n     n     n    0.04 0.13 -0.04 0.12 -0.18 0.40 -0.06 0.00 -0.15 0.10 0.40
  n     n     n     n     n     n     n     n     n     n   0.26 0.05 -0.17 -0.27 0.15 -0.03 -0.27 -0.17 0.09 0.36
  n     n     n     n     n     n     n     n     n     n    n   -0.13 0.40 0.37 0.30 -0.09 -0.59 0.61 0.18 0.44
  n     n     n     n     n     n     n     n     n     n    n     n  -0.08 -0.05 0.62 0.46 0.05 0.62 0.04 -0.21
  n     n     n     n     n     n     n     n     n     n    n     n    n   -0.86 -0.25 -0.12 0.06 0.04 0.18 0.11
  n     n     n     n     n     n     n     n     n     n    n     n    n     n    0.21 0.68 -0.53 -0.26 -0.09 0.33
  n     n     n     n     n     n     n     n     n     n    n     n    n     n     n   0.60 -0.06 -0.15 -0.09 0.84
  n     n     n     n     n     n     n     n     n     n    n     n    n     n     n    n    0.14 -0.01 0.14 -0.22
  n     n     n     n     n     n     n     n     n     n    n     n    n     n     n    n     n    0.23 0.30 -0.02
  n     n     n     n     n     n     n     n     n     n    n     n    n     n     n    n     n     n   1.45 0.51
  n     n     n     n     n     n     n     n     n     n    n     n    n     n     n    n     n     n    n   0.28

